Red Value, IR Value
-15956,-15486
-15935,-15469
-15925,-15424
-15936,-15424
-15915,-15398
-15901,-15434
-15903,-15428
-15931,-15454
-15922,-15433
-15932,-15463
-15909,-15436
-15903,-15485
-15916,-15464
-15942,-15499
-15917,-15467
-15956,-15492
-15913,-15469
-15920,-15502
-15935,-15489
-15944,-15528
-15945,-15507
-15970,-15525
-15938,-15491
-15935,-15536
-15945,-15517
-15969,-15541
-15942,-15500
-15935,-15529
-15947,-15517
-15957,-15540
-15942,-15507
-15976,-15531
-15940,-15503
-15948,-15529
-15960,-15519
-15975,-15543
-15973,-15518
-15998,-15533
-15962,-15505
-15969,-15539
-15975,-15526
-15998,-15562
-15982,-15527
-15973,-15542
-15993,-15549
-15993,-15577
-15984,-15560
-16019,-15596
-15986,-15561
-15978,-15582
-15989,-15570
-16004,-15604
-15990,-15563
-16004,-15586
-15978,-15566
-15985,-15582
-15990,-15573
-16005,-15590
-15975,-15557
-15979,-15584
-15982,-15561
-16002,-15596
-15986,-15554
-16004,-15553
-15967,-15501
-15937,-15474
-15940,-15423
-15929,-15405
-15901,-15348
-15881,-15346
-15888,-15344
-15896,-15362
-15878,-15332
-15912,-15367
-15892,-15332
-15875,-15372
-15893,-15362
-15911,-15386
-15902,-15365
-15877,-15378
-15894,-15366
-15906,-15391
-15894,-15356
-15903,-15376
-15880,-15349
-15867,-15369
-15893,-15349
-15885,-15370
-15877,-15346
-15896,-15375
-15874,-15346
-15867,-15385
-15879,-15388
-15899,-15419
-15893,-15394
-15910,-15424
-15882,-15396
-15897,-15428
-15893,-15419
-15907,-15457
-15896,-15421
-15890,-15423
-15898,-15446
-15894,-15454
-15901,-15445
-15930,-15477
-15910,-15431
-15895,-15455
-15903,-15450
-15919,-15459
-15907,-15443
-15930,-15470
-15903,-15419
-15895,-15447
-15913,-15439
-15920,-15469
-15907,-15446
-15944,-15467
-15896,-15450
-15911,-15476
-15916,-15471
-15929,-15487
-15927,-15462
-15940,-15498
-15913,-15468
-15921,-15510
-15924,-15503
-15948,-15543
-15931,-15521
-15919,-15551
-15942,-15547
-15953,-15574
-15941,-15520
-15942,-15499
-15904,-15439
-15871,-15426
-15872,-15402
-15871,-15390
-15844,-15331
-15829,-15350
-15837,-15328
-15844,-15356
-15840,-15339
-15871,-15346
-15843,-15334
-15840,-15358
-15850,-15344
-15868,-15369
-15853,-15327
-15878,-15350
-15847,-15317
-15851,-15359
-15871,-15348
-15886,-15377
-15872,-15350
-15856,-15375
-15861,-15361
-15858,-15377
-15860,-15359
-15877,-15380
-15864,-15345
-15851,-15355
-15859,-15351
-15869,-15369
-15858,-15352
-15889,-15363
-15865,-15354
-15847,-15381
-15874,-15391
-15894,-15427
-15875,-15410
-15911,-15440
-15877,-15411
-15881,-15440
-15886,-15420
-15907,-15443
-15883,-15400
-15873,-15424
-15885,-15420
-15903,-15445
-15889,-15426
-15914,-15445
-15891,-15415
-15889,-15462
-15909,-15442
-15913,-15455
-15901,-15425
-15891,-15428
-15897,-15436
-15904,-15449
-15905,-15434
-15924,-15456
-15892,-15430
-15886,-15463
-15913,-15456
-15924,-15504
-15907,-15475
-15910,-15509
-15919,-15505
-15925,-15527
-15923,-15507
-15931,-15512
-15905,-15447
-15870,-15427
-15873,-15394
-15862,-15376
-15837,-15332
-15847,-15331
-15834,-15306
-15814,-15327
-15833,-15319
-15846,-15348
-15831,-15311
-15867,-15328
-15835,-15300
-15828,-15323
-15846,-15304
-15864,-15326
-15848,-15298
-15883,-15335
-15854,-15300
-15856,-15337
-15864,-15327
-15883,-15360
-15865,-15334
-15899,-15358
-15860,-15325
-15865,-15378
-15876,-15354
-15892,-15394
-15865,-15375
-15869,-15387
-15877,-15403
-15893,-15429
-15888,-15416
-15900,-15444
-15886,-15422
-15891,-15467
-15905,-15466
-15915,-15506
-15904,-15478
-15941,-15514
-15909,-15479
-15904,-15532
-15921,-15521
-15936,-15562
-15938,-15539
-15954,-15563
-15929,-15550
-15926,-15587
-15941,-15564
-15959,-15620
-15944,-15577
-15933,-15599
-15951,-15599
-15955,-15625
-15962,-15615
-15983,-15634
-15955,-15615
-15946,-15642
-15958,-15632
-15975,-15651
-15968,-15641
-15982,-15648
-15965,-15627
-15959,-15653
-15964,-15629
-15972,-15631
-15947,-15574
-15961,-15545
-15919,-15484
-15892,-15485
-15896,-15448
-15912,-15452
-15884,-15423
-15875,-15445
-15890,-15437
-15900,-15468
-15893,-15443
-15917,-15468
-15895,-15445
-15897,-15471
-15909,-15470
-15909,-15508
-15897,-15465
-15901,-15486
-15913,-15486
-15919,-15518
-15918,-15501
-15935,-15513
-15917,-15487
-15897,-15528
-15911,-15515
-15926,-15546
-15911,-15506
-15896,-15536
-15917,-15536
-15931,-15566
-15929,-15544
-15943,-15559
-15924,-15546
-15916,-15578
-15940,-15566
-15945,-15593
-15937,-15562
-15956,-15591
-15931,-15561
-15947,-15589
-15938,-15575
-15954,-15593
-15931,-15555
-15927,-15571
-15942,-15553
-15946,-15562
-15931,-15533
-15946,-15552
-15916,-15515
-15919,-15556
-15934,-15545
-15938,-15562
-15934,-15536
-15923,-15571
-15940,-15561
-15950,-15576
-15944,-15545
-15961,-15581
-15939,-15541
-15930,-15550
-15935,-15515
-15931,-15506
-15897,-15452
-15905,-15418
-15870,-15366
-15852,-15374
-15852,-15345
-15859,-15362
-15852,-15331
-15866,-15354
-15841,-15324
-15848,-15357
-15850,-15345
-15873,-15366
-15845,-15316
-15827,-15316
-15841,-15311
-15839,-15330
-15839,-15302
-15859,-15311
-15838,-15293
-15824,-15319
-15837,-15319
-15862,-15340
-15846,-15321
-15861,-15340
-15841,-15313
-15836,-15368
-15851,-15353
-15870,-15366
-15838,-15337
-15872,-15344
-15834,-15311
-15823,-15349
-15842,-15331
-15855,-15363
-15845,-15338
-15845,-15348
-15847,-15348
-15864,-15375
-15851,-15357
-15880,-15413
-15871,-15383
-15851,-15413
-15881,-15418
-15885,-15432
-15878,-15427
-15898,-15438
-15878,-15412
-15872,-15444
-15883,-15431
-15894,-15453
-15885,-15430
-15881,-15473
-15895,-15473
